Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
41,0.7416738324305591,0.9998211860656738,557.6552990402622,417.3640859082397,0.99993896484375,613.8998127340824,377.41401129447564,0.9996349811553955,524.820707514045,375.5327203300562,0.9677579402923584,671.8989202949438,399.9095856741573,0.9985097646713257,432.9481946395132,421.1152928955993,0.9387255311012268,773.8044241573034,771.2971822331461,0.8831459283828735,247.4135358146068,739.9009538857678,0.9898377656936646,849.0864934456929,1186.9333011470037,0.9917736649513245,207.4641561329588,1064.7405342930713,0.9562855958938599,882.4397237827716,1056.466965121723,0.8254426121711731,121.4453125,1135.1100187265918,0.7093195915222168,657.3286809456929,1465.5900339419477,0.3908917307853699,370.7940513810862,1426.448677434457,0.31448835134506226,416.95071102528095,1935.9866573033707,0.3065335750579834,347.3684749531835,1938.335381554307,0.16907891631126404,728.7844540028091,1852.8167427434457,0.1672690510749817,726.6561329588014,1859.4218164794008
42,0.757922747555901,0.999809741973877,558.6878218632959,416.18712693117976,0.9999443292617798,615.228669241573,377.36759714419475,0.9994140863418579,527.8858702013109,374.2548864700375,0.9689204692840576,674.7414852528091,397.8725567649813,0.9983311891555786,438.07679365636704,422.1494616104869,0.959435760974884,819.0943937265918,760.8631788389513,0.8591666221618652,247.71564840823976,738.0458508895132,0.9576411247253418,831.9842872191011,1189.2445722144196,0.9830045104026794,213.6136470037453,1074.711566596442,0.9636245965957642,839.6263459737829,1097.6817796114233,0.9228678345680237,138.6669373244382,1129.9316772003747,0.7231594920158386,658.9680623829588,1464.1156074438202,0.5496132969856262,358.972890332397,1385.401890215356,0.2338906228542328,664.8889571629213,1916.7763927902622,0.44049015641212463,345.80261001872657,1952.4774695692884,0.17061403393745422,769.4402504681648,1800.481331928839,0.15475884079933167,728.3748098080525,1859.8434573970037
43,0.7759465505095089,0.9998199939727783,556.9487359550562,414.6651524461611,0.9999407529830933,614.6466087312735,376.94661458333337,0.9995465874671936,527.1612388810862,373.1497981039326,0.9694352149963379,674.5038184691011,400.60780957397003,0.9984643459320068,433.6961610486892,421.33606185627343,0.9699058532714844,826.778441011236,760.0054863061798,0.8834065794944763,266.82584269662925,748.2677171114233,0.9294258952140808,801.299449906367,1137.9889396067417,0.8969559669494629,223.83507432116107,1088.544300093633,0.9886817932128906,831.4789618445693,1152.0836259363296,0.9458252191543579,182.7292544475656,1123.3242626404494,0.6657509207725525,665.9625175561798,1486.7965823970037,0.7113786935806274,379.00500351123594,1396.6782244850187,0.3402414619922638,426.5042720037453,1946.2517556179776,0.4313596189022064,346.4306091994382,1952.4591818820224,0.21023589372634888,737.5068761704119,1860.4614349250937,0.25071656703948975,726.9728025514983,1865.8846851591761
44,0.7972491243306328,0.9997926354408264,555.0904143258427,411.9445663623596,0.9999380111694336,614.1274578651685,374.5305184925094,0.9994709491729736,521.3254184222847,369.65224133895134,0.9665456414222717,674.1515244616105,396.1144882373596,0.9988358020782471,438.8991543773409,422.0941962195693,0.9364461898803711,825.4403675093633,760.8759802200375,0.8989629745483398,270.73011762640454,746.5438465589888,0.9933657646179199,824.034849016854,1115.0648847144196,0.9802519679069519,218.45117919007498,1127.8520745552435,0.9542496800422668,828.7277621722847,1208.655708684457,0.958579421043396,163.91722261235952,1095.638679190075,0.7782877683639526,660.194142088015,1481.288916198502,0.8359218835830688,372.19693644662925,1367.1106917134832,0.24489596486091614,442.24616690074913,1947.5974367977528,0.4707929491996765,343.1320956226592,1948.9619908707866,0.21524658799171448,741.5448706694756,1857.984696863296,0.3216509222984314,728.9886908941949,1861.7319171348315
45,0.7709343328195459,0.9998350143432617,556.9101123595506,408.19420060861427,0.9999521970748901,614.2560568820224,371.1713995201311,0.9993548393249512,523.467345505618,368.11870903558054,0.9722286462783813,675.5075930477528,394.4954061329588,0.9990829229354858,438.80076661985026,420.255076661985,0.9256866574287415,823.4113120318352,763.0029113998128,0.8996152281761169,268.75724192415737,748.1285843867041,0.9971206188201904,831.6093164794008,1095.3543422284645,0.9674668312072754,213.8604576310862,1121.8752194522472,0.6999541521072388,836.3745025749065,1252.6682467228466,0.9395639896392822,154.1100845622659,1070.4776012406367,0.7239152789115906,653.9494820926966,1480.4111072097378,0.8219543695449829,366.90426029962555,1365.501082631086,0.26441606879234314,674.0325081928838,1911.7643960674159,0.46974602341651917,346.187895014045,1945.444756554307,0.18719974160194397,775.322741104869,1803.59375,0.2387910783290863,751.9142088014983,1807.0341760299625
46,0.7964611754697912,0.9997920989990234,557.6097261235956,408.56134421816483,0.999953031539917,619.5183754681648,371.8656001287453,0.9992917776107788,524.1124619616105,365.70696541432585,0.9729828834533691,678.5363998127341,397.493050678839,0.9990038871765137,441.24948794475654,420.2846661399813,0.9039106965065002,810.5367801966293,758.6930155664794,0.9306045174598694,287.86516853932585,743.5188436329588,0.9944167137145996,846.2627282303372,1107.610091877341,0.9770362377166748,182.74392117275283,1142.9236891385767,0.9117739796638489,825.5057642790262,1243.2838834269664,0.9787241220474243,143.36511733380155,1012.5375994850187,0.7138450741767883,661.3246137640449,1478.9147354868915,0.7902029752731323,364.6750643726592,1343.1263167134832,0.3092113733291626,674.6208596676031,1909.6428780430713,0.49619191884994507,346.02630500936334,1943.763752340824,0.31414222717285156,779.1293597846443,1799.59767088015,0.24875646829605103,753.3680799391386,1807.311563670412
47,0.7917078470482546,0.9997655153274536,560.337663857678,408.24807613529964,0.9999372959136963,622.4934164325844,366.9066011235955,0.9993973970413208,512.4266297986892,360.6339609667603,0.9729955196380615,684.4254008661048,395.15606712312734,0.999367356300354,440.92455231741576,416.5821409761236,0.9094662666320801,821.3088132022472,761.7249678136704,0.9165825843811035,276.1748010299626,747.8230337078652,0.9924225807189941,844.0651334269664,1107.4972202715355,0.992660641670227,159.83979985955057,1145.1566157537454,0.9150035381317139,827.6050444756554,1254.6338073501872,0.9092241525650024,168.82439431179773,989.8424332865169,0.6904089450836182,654.592111423221,1500.568527621723,0.8575892448425293,388.2677902621723,1344.4354225187267,0.23559603095054626,732.7020423689139,1797.3077598314608,0.4628945291042328,343.2413096910112,1939.36797752809,0.28839150071144104,726.579617275281,1877.8085498595506,0.3173303008079529,723.6514659410113,1881.9118679775281
48,0.8086981300045463,0.9998141527175903,563.4309164325844,406.8847290496255,0.9999362230300903,623.5469335205994,366.258046582397,0.999306857585907,512.4518668071162,358.82786897237827,0.9688910245895386,684.8547226123596,392.2375716877341,0.9993993043899536,440.8413799157304,415.04608497191015,0.9182707071304321,813.0062031835207,757.0640946863297,0.9135489463806152,303.7772120786517,738.9124678136704,0.9944677352905273,830.4934749531835,1085.6037862827716,0.9968373775482178,157.42176527387642,1140.7154874765918,0.9084811806678772,826.6930009363296,1251.5044183052435,0.9832617044448853,157.9557657420412,976.0378628277153,0.7403562068939209,681.0255003511236,1475.1195283239701,0.8162674307823181,366.96065952715355,1347.048513576779,0.3095695376396179,438.2819815074906,1924.994294241573,0.43581080436706543,344.2465472846442,1934.7546523876406,0.3815695643424988,731.1331051029963,1890.3730688202247,0.38207945227622986,722.734228698502,1890.8014396067417
49,0.7949380769449121,0.9998099207878113,562.8916491104869,408.29288096910113,0.9999420642852783,623.5580524344571,366.66363091058054,0.9992390871047974,511.3842316245318,357.7542354283708,0.9696832299232483,684.2510094803372,390.8948531132959,0.9993600845336914,438.8293685627341,413.2535624414794,0.935349702835083,818.8863529962548,759.0310451779027,0.9347274303436279,286.83769311797755,732.6756349485019,0.9966102838516235,827.5877808988764,1084.2570078417602,0.9957095384597778,160.39951281601122,1139.6289794007491,0.914185643196106,822.6288916198503,1241.149929775281,0.9779680967330933,178.05905459971916,968.353522940075,0.7112934589385986,665.6207572565543,1464.9994147940076,0.8564467430114746,382.6002165262173,1361.7995084269664,0.3169153332710266,436.46725772471916,1929.201486423221,0.45687878131866455,343.1521389279027,1940.7105863764045,0.23815476894378662,744.2177990402622,1864.6955465823971,0.21167314052581787,729.8061505149813,1860.2317415730338
50,0.7753079463453854,0.9998509287834167,565.0690543071162,406.51392790262173,0.9999544620513916,622.8359082397003,365.72719159644197,0.9994938373565674,512.1339536516854,357.606251463015,0.9710792303085327,684.1488910346443,390.24787131320227,0.9995478987693787,438.3654465121723,408.5074321161049,0.9602168798446655,818.230775983146,758.5899461610487,0.9514219164848328,283.56770833333337,731.9950403792135,0.9996026754379272,840.8728347378278,1080.5979342228466,0.9969578385353088,159.7153704353933,1139.2329412453184,0.753201961517334,862.5558871722847,1204.0553312265918,0.9747865200042725,169.6026451310862,966.8049947331461,0.6933286190032959,655.1822916666667,1460.2310100655432,0.8650152087211609,378.15426029962555,1360.2987476591761,0.14763709902763367,723.0519955524344,1861.194698033708,0.4002460539340973,340.0412570224719,1950.5521418539327,0.23198124766349792,724.6255413155432,1866.576252340824,0.23591271042823792,722.0082075140449,1863.6570985486892
