Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
111,0.8747493905179641,0.9998252391815186,508.6635358146068,743.6600977294007,0.9999564290046692,558.2004184222847,697.6573472612359,0.9998615980148315,459.3957748127341,699.5113529962547,0.9995964765548706,627.3005179073034,726.8555419007491,0.997779905796051,382.16167778558054,730.5470944522472,0.9783538579940796,706.1811651451312,993.3181179775281,0.9657574892044067,267.2038857677903,1017.9923776919476,0.8225158452987671,846.5641093164795,1333.3738588483147,0.9904420375823975,204.21699438202245,1321.2308345037454,0.9952700138092041,796.2252018960673,1562.9311505149813,0.9966679811477661,212.71828183520597,1579.7934222846443,0.6976421475410461,685.4747483614233,1477.9099367977528,0.5788633227348328,342.0069639513109,1537.3362886235955,0.7365935444831848,768.3725421348315,1698.664998829588,0.7908966541290283,685.3814080056179,1721.4848139044943,0.5713233947753906,731.411809456929,1936.7654201779028,0.7493937015533447,730.8388196395131,1898.397120786517
112,0.8739879289094139,0.9998161792755127,507.36540262172286,744.000395014045,0.9999614953994751,556.791022940075,698.304219335206,0.9998456239700317,458.0343662219101,699.6509246254682,0.9995763301849365,626.8916783707866,727.2953242041199,0.9976394176483154,381.4411429073034,730.4059135065544,0.9798645973205566,708.3050971441949,994.3831928838952,0.9665374159812927,266.2896477059925,1015.7672782069288,0.8605133295059204,842.0129623127341,1331.1800678838952,0.9905556440353394,191.12820400280896,1329.508134363296,0.9930457472801208,810.4740168539327,1579.6750643726593,0.9971124529838562,212.09445224719104,1581.2829178370787,0.7753663063049316,684.9997073970037,1477.0708977059926,0.3918388783931732,343.30765742041206,1549.267029494382,0.7163012623786926,742.7458596676031,1723.0070809925094,0.8230493068695068,685.14922752809,1725.4162277621724,0.6369368433952332,736.9965033941949,1944.2385007022472,0.7298339605331421,734.0605249297753,1897.3041022940076
113,0.8618909208213582,0.9998030662536621,506.7661516853933,744.2035346441947,0.9999630451202393,556.274139747191,698.3458421114233,0.9998517036437988,457.5912189840824,699.5949643024345,0.9995191097259521,626.3199321161048,727.5836844569288,0.9978649616241455,381.3540935159176,730.6385328885768,0.9815229177474976,709.3570780664795,993.7015010533709,0.9664977788925171,272.60738529962555,1011.0973343867041,0.8545575141906738,831.6128277153559,1332.8452715355807,0.9885681867599487,187.54974250936334,1330.433198735955,0.9953066110610962,810.1812675561798,1580.5901802434457,0.9966232180595398,214.75882198033707,1581.4656484082398,0.761286199092865,451.1334708567416,1599.5602176966293,0.4107418358325958,354.955158590824,1552.344774110487,0.7041551470756531,763.5012874531835,1705.8321629213483,0.9138690233230591,685.4885007022472,1732.7592462546818,0.5048828721046448,738.0435100655432,1942.2524578651687,0.5771324634552002,737.2003013810861,1906.0422518726593
114,0.8769023137934068,0.9997920393943787,505.9045090121723,744.2176527387641,0.9999628067016602,555.2279377340824,698.2634743679776,0.9998411536216736,456.3622863998128,699.495625585206,0.9994198679924011,624.4465414325844,728.0819142088015,0.9975518584251404,380.9406454822098,730.8342111423221,0.9841160178184509,712.9567532771537,992.9729195926967,0.9638816118240356,280.7274110486892,1008.5653675093633,0.8418964147567749,832.7744616104869,1326.5876638576779,0.9903112053871155,186.31894458099248,1325.910873127341,0.9933527708053589,809.4964302434457,1579.6101065074906,0.9964576959609985,213.27276451310865,1582.2869850187267,0.778292179107666,445.6781805945693,1581.9389337546818,0.5851085782051086,352.37103522940083,1547.0126697097378,0.6392049193382263,775.9560071395131,1708.415554775281,0.8606863021850586,680.7838102762173,1729.2755149812735,0.5516088008880615,736.1333977059926,1936.0299625468165,0.7258551120758057,734.6191040496255,1898.2884187734082
115,0.8761494440190932,0.9997982978820801,504.45071102528095,744.1867831226592,0.9999643564224243,553.7093281835206,698.4005588717229,0.9998477101325989,455.57620845037457,699.5368094569288,0.9993901252746582,623.7467813670412,729.8043948970038,0.9976004362106323,381.5419446395132,730.3646564840824,0.9836572408676147,716.3058871722847,992.8361276919476,0.9692724943161011,277.209298923221,1007.8618036048689,0.8777579665184021,831.5838600187267,1321.290086610487,0.9915790557861328,186.72836932350185,1327.645716292135,0.9935065507888794,807.4865402621724,1578.8973256086142,0.9967093467712402,212.61865051498125,1581.067123127341,0.6733899116516113,447.28596090823976,1582.5119967228466,0.6012782454490662,345.4876960440075,1535.4956694756554,0.6735870838165283,770.3456372893259,1701.5769838483147,0.8165008425712585,678.924610838015,1720.9045821629213,0.5473232865333557,735.324057818352,1935.1698560393259,0.7733775973320007,735.7508192883895,1892.5077539794008
116,0.8705826086156508,0.9997948408126831,503.90222670880155,743.9627223782771,0.9999643564224243,553.2969042602997,698.2822009597379,0.9998583793640137,455.6064197097379,699.4683403558053,0.9993249773979187,622.9852089185395,731.0426907771536,0.997737467288971,381.2951340121723,730.2397150046817,0.9835472106933594,711.6791754447565,994.6303692649813,0.9648995995521545,276.08979985955057,1009.2666637406368,0.8953022956848145,828.8494850187267,1323.7182525749065,0.9935367107391357,185.83208977059928,1328.7037687265918,0.993746817111969,806.7126784878278,1578.5956519194758,0.9968180656433105,211.70631437265922,1580.1625409644196,0.7209716439247131,457.5570575842697,1588.2660346441949,0.5813820362091064,350.998361423221,1543.9595037453184,0.6646435260772705,762.678195224719,1702.7310100655432,0.7737691402435303,680.1933374297753,1716.3162745786517,0.43878358602523804,730.8921465355807,1932.5901217228466,0.7958236932754517,734.7605775983147,1888.2140976123596
117,0.8793635876739726,0.999787449836731,504.1319200608615,743.8984228698503,0.9999620914459229,553.984375,697.9244937968165,0.9998712539672852,456.0844598548689,699.0468457397004,0.9993195533752441,622.3368738295881,727.9143989934457,0.9977335929870605,381.3834269662922,729.9217286985019,0.9837006330490112,710.8427697799625,992.2066654962547,0.9648759961128235,270.31293890449444,1010.4726269897004,0.8786847591400146,832.6087020131088,1319.6098139044943,0.9934146404266357,182.8590604517791,1328.5682935393259,0.9946790337562561,804.9554511938202,1580.6712312734082,0.9969905614852905,212.69750702247188,1581.343194054307,0.7546438574790955,695.2450550093633,1502.6546406835207,0.6159487962722778,345.56209035580525,1540.019458099251,0.7197018265724182,763.883280664794,1706.382256554307,0.8278872966766357,679.6711142322097,1721.4369733146068,0.4666413962841034,734.443834854869,1935.338834269663,0.7553382515907288,733.6596588249065,1891.6271652621724
118,0.878274027039023,0.999800443649292,503.1660375702247,743.6101357677903,0.9999641180038452,556.299449906367,699.4600743211611,0.9998794794082642,455.30811095505624,698.9761821161048,0.9992765188217163,619.2383544007491,729.1162658005618,0.9978319406509399,381.6537921348315,730.1243562734082,0.9824841618537903,708.1600392088014,994.3156015917604,0.9641219973564148,273.498361423221,1011.5165613295881,0.8771417140960693,832.6123595505619,1320.6274871254682,0.9948027729988098,183.90003218632955,1327.4502574906367,0.9957551956176758,802.8890888342696,1583.1939080056181,0.9969239234924316,211.28291783707868,1582.0764571629213,0.7758392095565796,694.871400983146,1502.3548689138577,0.48256948590278625,358.21219569288394,1544.5268609550562,0.7904512286186218,764.7325608614233,1706.6812968164795,0.8490528464317322,681.959928019663,1722.25860252809,0.48080340027809143,731.1306179775281,1942.2294885299625,0.7439600229263306,730.9354517790262,1897.4347495318352
119,0.8631116958225474,0.9998114109039307,502.6939226357679,743.5063348548689,0.9999674558639526,555.0400866104869,699.8108321629214,0.9998795986175537,454.7646008895132,699.0759597378277,0.9993726015090942,617.9404406601125,727.4385533707865,0.9979017376899719,381.586566596442,729.5614612593633,0.9782146215438843,706.7548133192884,995.3615110018727,0.9694135189056396,275.2855073735956,1011.4768404728464,0.9024302959442139,827.682584269663,1321.211815308989,0.9952360391616821,184.11970388576776,1327.181647940075,0.9963054060935974,799.8152943586142,1585.118065308989,0.9968345761299133,211.23639396067415,1582.983819054307,0.6753601431846619,700.7175356975656,1496.2129857209738,0.49627500772476196,364.32452598314615,1546.9188904494383,0.6922468543052673,772.7970651919477,1703.5508836610488,0.8575321435928345,683.4644194756554,1719.516180945693,0.42829030752182007,728.653441011236,1936.139688670412,0.6878271102905273,726.6473548689139,1888.6692415730338
120,0.8830859976656297,0.9998167157173157,502.2707455524345,743.4767819522472,0.999967098236084,555.3405898876405,699.5869177200375,0.9998874068260193,454.734609082397,699.0880296114233,0.999370813369751,618.0332689606741,726.9090150983146,0.9979689121246338,382.1320517322098,730.2898232677903,0.9779767394065857,711.1312763342696,990.8917076310862,0.9630311727523804,274.7667954119851,1008.1051029962547,0.9021629095077515,826.6052200374531,1325.3359082397005,0.9957227110862732,185.99982443820227,1334.8525280898878,0.9955710172653198,800.9659556413858,1583.906103698502,0.9963272213935852,212.61082338483152,1582.0773349719102,0.8059025406837463,444.77535404962555,1587.6212839419477,0.57635897397995,349.1232882724719,1549.586405664794,0.7798011302947998,764.9523057116105,1704.6658473782772,0.8582236766815186,684.5321278089889,1723.8351474719102,0.4362059235572815,728.9110779494383,1941.326808286517,0.7281669974327087,726.8248185861423,1892.2631378745318
